TIME,DISK,READ(B/s),WRITE(B/s)
1734349549,sdc,0,0
1734349552,sdc,0,83285
1734349555,sdc,0,0
1734349558,sdc,34133,118784
1734349561,sdc,0,0
1734349564,sdc,0,12013568
1734349567,sdc,0,17749
1734349570,sdc,0,0
1734349573,sdc,0,15018
1734349576,sdc,0,0
1734349579,sdc,0,41683626
1734349582,sdc,0,64393216
1734349585,sdc,0,38546090
1734349588,sdc,0,42325
1734349591,sdc,0,0
1734349594,sdc,0,20480
1734349597,sdc,0,69632
1734349600,sdc,0,49994410
1734349603,sdc,0,73728
1734349606,sdc,0,0
1734349609,sdc,0,106142378
1734349612,sdc,0,87381
1734349615,sdc,0,160634197
1734349618,sdc,0,106496
1734349621,sdc,0,5461
1734349624,sdc,0,25941
1734349627,sdc,0,9557
1734349630,sdc,0,20877312
1734349633,sdc,0,46421
1734349636,sdc,0,16384
1734349639,sdc,0,2377045
1734349642,sdc,0,175920469
1734349645,sdc,0,0
1734349648,sdc,0,201648810
1734349651,sdc,0,0
1734349654,sdc,0,142308693
1734349657,sdc,0,23210
1734349660,sdc,0,0
1734349663,sdc,0,6826
1734349666,sdc,0,9557
1734349669,sdc,0,9557
1734349672,sdc,0,5461
1734349675,sdc,0,68266
1734349678,sdc,0,19114
1734349681,sdc,0,54613
1734349684,sdc,0,28752554
1734349687,sdc,0,89868970
1734349690,sdc,0,0
1734349693,sdc,0,9557
1734349696,sdc,0,9557
1734349699,sdc,0,10922
1734349702,sdc,0,8192
1734349705,sdc,0,70997
1734349708,sdc,0,19114
1734349711,sdc,0,47028906
1734349714,sdc,0,23210
1734349717,sdc,0,71651328
1734349720,sdc,0,0
1734349723,sdc,0,6826
1734349726,sdc,0,0
1734349729,sdc,0,10922
1734349732,sdc,0,6826
1734349735,sdc,0,0
1734349738,sdc,0,6826
1734349741,sdc,1365,69029888
1734349744,sdc,0,8663040
1734349747,sdc,0,30781440
1734349750,sdc,0,30037
1734349753,sdc,0,136533
1734349756,sdc,0,8192
1734349759,sdc,0,95573
1734349762,sdc,0,0
1734349765,sdc,0,109226
1734349768,sdc,0,55481685
1734349772,sdc,0,28672
1734349775,sdc,0,73728
1734349778,sdc,0,0
1734349781,sdc,0,137898
1734349784,sdc,0,15018
1734349787,sdc,0,137898
1734349790,sdc,0,99669
1734349793,sdc,0,10922
1734349796,sdc,0,0
1734349799,sdc,0,248490
1734349802,sdc,0,106496
1734349805,sdc,0,406869
1734349808,sdc,0,143360
1734349811,sdc,0,10922
1734349814,sdc,0,17749
1734349817,sdc,0,365909
1734349820,sdc,0,15018
1734349823,sdc,0,140629
1734349826,sdc,0,31402
1734349829,sdc,0,200704
1734349832,sdc,0,157013
1734349835,sdc,0,8192
1734349838,sdc,0,527018
1734349841,sdc,0,53248
1734349844,sdc,0,159744
1734349847,sdc,0,58709
1734349850,sdc,0,0
1734349853,sdc,0,163840
1734349856,sdc,0,16384
1734349859,sdc,0,439637
1734349862,sdc,0,139264
1734349865,sdc,0,0
1734349868,sdc,0,159744
1734349871,sdc,0,30037
1734349874,sdc,0,458752
1734349877,sdc,0,157013
1734349880,sdc,0,40960
1734349883,sdc,0,77824
1734349886,sdc,0,10922
1734349889,sdc,0,248490
1734349892,sdc,0,331776
1734349895,sdc,0,42325
1734349898,sdc,0,136533
1734349901,sdc,0,0
1734349904,sdc,0,218453
1734349907,sdc,0,404138
1734349910,sdc,0,15018
1734349913,sdc,0,113322
1734349916,sdc,0,51882
