TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734349551,namenode,7.08%,2.874GiB / 16GiB,17.96%
1734349551,datanode1,0.30%,5.233GiB / 16GiB,32.71%
1734349551,datanode2,0.45%,7.072GiB / 16GiB,44.20%
1734349556,namenode,1.44%,3.169GiB / 16GiB,19.81%
1734349556,datanode1,0.62%,5.233GiB / 16GiB,32.71%
1734349556,datanode2,403.32%,7.411GiB / 16GiB,46.32%
1734349562,namenode,1.32%,3.175GiB / 16GiB,19.84%
1734349562,datanode1,3441.36%,9.036GiB / 16GiB,56.47%
1734349562,datanode2,641.97%,8.146GiB / 16GiB,50.91%
1734349567,namenode,0.87%,3.175GiB / 16GiB,19.84%
1734349567,datanode1,812.01%,9.883GiB / 16GiB,61.77%
1734349567,datanode2,210.47%,8.761GiB / 16GiB,54.76%
1734349573,namenode,0.84%,3.175GiB / 16GiB,19.84%
1734349573,datanode1,856.87%,9.986GiB / 16GiB,62.41%
1734349573,datanode2,222.58%,8.795GiB / 16GiB,54.97%
1734349578,namenode,0.92%,3.175GiB / 16GiB,19.84%
1734349578,datanode1,813.55%,10.06GiB / 16GiB,62.85%
1734349578,datanode2,208.50%,8.827GiB / 16GiB,55.17%
1734349584,namenode,0.82%,3.175GiB / 16GiB,19.85%
1734349584,datanode1,844.01%,10.15GiB / 16GiB,63.46%
1734349584,datanode2,184.55%,8.85GiB / 16GiB,55.31%
1734349589,namenode,0.93%,3.175GiB / 16GiB,19.85%
1734349589,datanode1,820.14%,10.24GiB / 16GiB,63.99%
1734349589,datanode2,442.28%,8.942GiB / 16GiB,55.89%
1734349595,namenode,0.85%,3.175GiB / 16GiB,19.85%
1734349595,datanode1,842.23%,10.31GiB / 16GiB,64.43%
1734349595,datanode2,248.69%,9.069GiB / 16GiB,56.68%
1734349600,namenode,1.42%,3.179GiB / 16GiB,19.87%
1734349600,datanode1,820.23%,10.64GiB / 16GiB,66.48%
1734349600,datanode2,572.53%,8.689GiB / 16GiB,54.31%
1734349606,namenode,1.33%,3.179GiB / 16GiB,19.87%
1734349606,datanode1,1298.16%,11.04GiB / 16GiB,68.97%
1734349606,datanode2,103.95%,8.743GiB / 16GiB,54.64%
1734349611,namenode,1.39%,3.179GiB / 16GiB,19.87%
1734349611,datanode1,449.90%,8.524GiB / 16GiB,53.28%
1734349611,datanode2,208.56%,9.324GiB / 16GiB,58.28%
1734349617,namenode,1.56%,3.181GiB / 16GiB,19.88%
1734349617,datanode1,0.49%,6.014GiB / 16GiB,37.59%
1734349617,datanode2,100.81%,9.056GiB / 16GiB,56.60%
1734349623,namenode,1.06%,3.181GiB / 16GiB,19.88%
1734349623,datanode1,1.04%,6.013GiB / 16GiB,37.58%
1734349623,datanode2,106.85%,9.229GiB / 16GiB,57.68%
1734349628,namenode,0.51%,3.181GiB / 16GiB,19.88%
1734349628,datanode1,0.77%,6.014GiB / 16GiB,37.59%
1734349628,datanode2,112.92%,9.26GiB / 16GiB,57.87%
1734349634,namenode,0.95%,3.181GiB / 16GiB,19.88%
1734349634,datanode1,0.82%,6.015GiB / 16GiB,37.59%
1734349634,datanode2,112.40%,9.307GiB / 16GiB,58.17%
1734349639,namenode,0.94%,3.181GiB / 16GiB,19.88%
1734349639,datanode1,0.89%,6.015GiB / 16GiB,37.59%
1734349639,datanode2,105.33%,9.346GiB / 16GiB,58.41%
1734349645,namenode,0.65%,3.181GiB / 16GiB,19.88%
1734349645,datanode1,0.72%,6.016GiB / 16GiB,37.60%
1734349645,datanode2,106.29%,9.383GiB / 16GiB,58.64%
1734349650,namenode,0.75%,3.183GiB / 16GiB,19.89%
1734349650,datanode1,0.74%,6.016GiB / 16GiB,37.60%
1734349650,datanode2,106.37%,9.43GiB / 16GiB,58.93%
1734349656,namenode,0.89%,3.183GiB / 16GiB,19.89%
1734349656,datanode1,0.79%,6.017GiB / 16GiB,37.61%
1734349656,datanode2,107.29%,9.462GiB / 16GiB,59.14%
1734349661,namenode,1.30%,3.183GiB / 16GiB,19.89%
1734349661,datanode1,0.86%,6.017GiB / 16GiB,37.61%
1734349661,datanode2,104.58%,9.508GiB / 16GiB,59.43%
1734349667,namenode,2.28%,3.183GiB / 16GiB,19.89%
1734349667,datanode1,0.90%,6.018GiB / 16GiB,37.61%
1734349667,datanode2,105.12%,9.541GiB / 16GiB,59.63%
1734349672,namenode,0.78%,3.183GiB / 16GiB,19.89%
1734349672,datanode1,0.91%,6.018GiB / 16GiB,37.61%
1734349672,datanode2,102.11%,9.581GiB / 16GiB,59.88%
1734349678,namenode,0.72%,3.183GiB / 16GiB,19.89%
1734349678,datanode1,0.80%,6.018GiB / 16GiB,37.61%
1734349678,datanode2,150.18%,9.643GiB / 16GiB,60.27%
1734349684,namenode,0.58%,3.183GiB / 16GiB,19.89%
1734349684,datanode1,0.74%,6.019GiB / 16GiB,37.62%
1734349684,datanode2,101.41%,9.675GiB / 16GiB,60.47%
1734349689,namenode,0.59%,3.183GiB / 16GiB,19.89%
1734349689,datanode1,0.82%,6.02GiB / 16GiB,37.62%
1734349689,datanode2,105.62%,9.716GiB / 16GiB,60.73%
1734349695,namenode,0.71%,3.183GiB / 16GiB,19.89%
1734349695,datanode1,0.85%,6.02GiB / 16GiB,37.63%
1734349695,datanode2,109.30%,9.755GiB / 16GiB,60.97%
1734349700,namenode,0.56%,3.183GiB / 16GiB,19.90%
1734349700,datanode1,0.79%,6.021GiB / 16GiB,37.63%
1734349700,datanode2,101.77%,9.788GiB / 16GiB,61.17%
1734349706,namenode,0.50%,3.183GiB / 16GiB,19.90%
1734349706,datanode1,0.78%,6.022GiB / 16GiB,37.64%
1734349706,datanode2,101.55%,9.827GiB / 16GiB,61.42%
1734349711,namenode,0.60%,3.184GiB / 16GiB,19.90%
1734349711,datanode1,0.81%,6.022GiB / 16GiB,37.64%
1734349711,datanode2,101.24%,9.867GiB / 16GiB,61.67%
1734349717,namenode,0.89%,3.184GiB / 16GiB,19.90%
1734349717,datanode1,0.79%,6.023GiB / 16GiB,37.64%
1734349717,datanode2,104.16%,9.914GiB / 16GiB,61.96%
1734349722,namenode,0.52%,3.184GiB / 16GiB,19.90%
1734349722,datanode1,0.71%,6.024GiB / 16GiB,37.65%
1734349722,datanode2,101.15%,9.947GiB / 16GiB,62.17%
1734349728,namenode,0.55%,3.184GiB / 16GiB,19.90%
1734349728,datanode1,0.77%,6.024GiB / 16GiB,37.65%
1734349728,datanode2,104.20%,9.993GiB / 16GiB,62.46%
1734349733,namenode,0.48%,3.184GiB / 16GiB,19.90%
1734349733,datanode1,0.77%,6.025GiB / 16GiB,37.66%
1734349733,datanode2,101.81%,10.03GiB / 16GiB,62.66%
1734349739,namenode,0.92%,3.183GiB / 16GiB,19.90%
1734349739,datanode1,0.78%,6.026GiB / 16GiB,37.66%
1734349739,datanode2,102.55%,10.07GiB / 16GiB,62.91%
1734349744,namenode,0.64%,3.183GiB / 16GiB,19.90%
1734349744,datanode1,0.90%,6.026GiB / 16GiB,37.66%
1734349744,datanode2,102.71%,10.11GiB / 16GiB,63.16%
1734349750,namenode,0.54%,3.241GiB / 16GiB,20.25%
1734349750,datanode1,1.87%,6.027GiB / 16GiB,37.67%
1734349750,datanode2,0.79%,8.756GiB / 16GiB,54.73%
1734349756,namenode,1.16%,3.239GiB / 16GiB,20.24%
1734349756,datanode1,401.25%,6.394GiB / 16GiB,39.96%
1734349756,datanode2,0.54%,8.242GiB / 16GiB,51.51%
