TIME,DISK,READ(B/s),WRITE(B/s)
1734351693,sdc,0,0
1734351696,sdc,0,0
1734351699,sdc,0,0
1734351702,sdc,0,70997
1734351705,sdc,0,669013
1734351708,sdc,0,41136128
1734351711,sdc,0,32843093
1734351714,sdc,0,167936
1734351717,sdc,0,0
1734351720,sdc,0,163840
1734351723,sdc,0,167936
1734351726,sdc,0,0
1734351729,sdc,0,154282
1734351732,sdc,0,23943850
1734351735,sdc,0,192512
1734351738,sdc,1365,55403861
1734351741,sdc,0,221184
1734351744,sdc,0,0
1734351747,sdc,0,176128
1734351750,sdc,0,0
1734351753,sdc,0,0
1734351756,sdc,0,1221973
1734351759,sdc,0,42803200
1734351762,sdc,0,18016938
1734351765,sdc,0,0
1734351768,sdc,0,20480
1734351771,sdc,0,0
1734351774,sdc,0,0
1734351777,sdc,0,96938
1734351780,sdc,0,0
