TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734346036,namenode,0.46%,1.678GiB / 16GiB,10.49%
1734346036,datanode1,0.46%,2.312GiB / 16GiB,14.45%
1734346036,datanode2,0.45%,2.103GiB / 16GiB,13.14%
1734346041,namenode,0.54%,1.678GiB / 16GiB,10.49%
1734346041,datanode1,0.68%,2.312GiB / 16GiB,14.45%
1734346041,datanode2,0.67%,2.103GiB / 16GiB,13.14%
1734346047,namenode,0.53%,1.678GiB / 16GiB,10.49%
1734346047,datanode1,0.77%,2.312GiB / 16GiB,14.45%
1734346047,datanode2,0.78%,2.107GiB / 16GiB,13.17%
1734346052,namenode,0.42%,1.678GiB / 16GiB,10.49%
1734346052,datanode1,0.95%,2.312GiB / 16GiB,14.45%
1734346052,datanode2,0.64%,2.112GiB / 16GiB,13.20%
1734346058,namenode,0.57%,1.678GiB / 16GiB,10.49%
1734346058,datanode1,0.84%,2.312GiB / 16GiB,14.45%
1734346058,datanode2,0.90%,2.112GiB / 16GiB,13.20%
1734346063,namenode,0.63%,1.678GiB / 16GiB,10.49%
1734346063,datanode1,0.92%,2.312GiB / 16GiB,14.45%
1734346063,datanode2,0.65%,2.127GiB / 16GiB,13.29%
1734346069,namenode,0.58%,1.678GiB / 16GiB,10.49%
1734346069,datanode1,0.77%,2.312GiB / 16GiB,14.45%
1734346069,datanode2,0.63%,2.127GiB / 16GiB,13.29%
1734346074,namenode,0.46%,1.678GiB / 16GiB,10.49%
1734346074,datanode1,0.61%,2.312GiB / 16GiB,14.45%
1734346074,datanode2,0.73%,2.142GiB / 16GiB,13.38%
1734346080,namenode,0.58%,1.678GiB / 16GiB,10.49%
1734346080,datanode1,0.77%,2.312GiB / 16GiB,14.45%
1734346080,datanode2,0.73%,2.142GiB / 16GiB,13.38%
