TIME,CONTAINER,CPU%,MEM USAGE/LIMIT,MEM %
1734355584,spark-master,0.28%,1.692GiB / 16GiB,10.57%
1734355584,spark-worker-1,0.32%,676.7MiB / 16GiB,4.13%
1734355584,spark-worker-2,0.25%,685.8MiB / 16GiB,4.19%
1734355584,spark-worker-3,0.21%,682.4MiB / 16GiB,4.16%
1734355589,spark-master,196.65%,1.812GiB / 16GiB,11.32%
1734355589,spark-worker-1,251.24%,742.2MiB / 16GiB,4.53%
1734355589,spark-worker-2,238.06%,736.7MiB / 16GiB,4.50%
1734355589,spark-worker-3,0.04%,682.1MiB / 16GiB,4.16%
1734355595,spark-master,2.63%,1.809GiB / 16GiB,11.31%
1734355595,spark-worker-1,357.22%,1.529GiB / 16GiB,9.56%
1734355595,spark-worker-2,479.00%,1.608GiB / 16GiB,10.05%
1734355595,spark-worker-3,912.30%,1.835GiB / 16GiB,11.47%
1734355600,spark-master,106.36%,1.835GiB / 16GiB,11.47%
1734355600,spark-worker-1,12.48%,1.141GiB / 16GiB,7.13%
1734355600,spark-worker-2,10.56%,1.136GiB / 16GiB,7.10%
1734355600,spark-worker-3,1672.92%,4.904GiB / 16GiB,30.65%
1734355606,spark-master,0.41%,1.821GiB / 16GiB,11.38%
1734355606,spark-worker-1,0.12%,1.14GiB / 16GiB,7.13%
1734355606,spark-worker-2,0.06%,1.136GiB / 16GiB,7.10%
1734355606,spark-worker-3,1625.73%,5.52GiB / 16GiB,34.50%
1734355611,spark-master,1.36%,1.84GiB / 16GiB,11.50%
1734355611,spark-worker-1,0.18%,1.141GiB / 16GiB,7.13%
1734355611,spark-worker-2,0.17%,1.137GiB / 16GiB,7.11%
1734355611,spark-worker-3,1869.76%,5.152GiB / 16GiB,32.20%
1734355617,spark-master,16.09%,1.836GiB / 16GiB,11.48%
1734355617,spark-worker-1,0.14%,1.141GiB / 16GiB,7.13%
1734355617,spark-worker-2,0.14%,1.138GiB / 16GiB,7.11%
1734355617,spark-worker-3,1816.68%,4.099GiB / 16GiB,25.62%
1734355622,spark-master,1.09%,1.838GiB / 16GiB,11.48%
1734355622,spark-worker-1,0.07%,1.141GiB / 16GiB,7.13%
1734355622,spark-worker-2,3.04%,1.138GiB / 16GiB,7.11%
1734355622,spark-worker-3,1774.75%,5.039GiB / 16GiB,31.49%
1734355628,spark-master,19.91%,1.838GiB / 16GiB,11.49%
1734355628,spark-worker-1,2.09%,1.141GiB / 16GiB,7.13%
1734355628,spark-worker-2,3.01%,1.138GiB / 16GiB,7.11%
1734355628,spark-worker-3,1984.43%,5.991GiB / 16GiB,37.45%
1734355634,spark-master,0.08%,1.828GiB / 16GiB,11.43%
1734355634,spark-worker-1,0.02%,340.7MiB / 16GiB,2.08%
1734355634,spark-worker-2,0.01%,349.6MiB / 16GiB,2.13%
1734355634,spark-worker-3,0.02%,342.9MiB / 16GiB,2.09%
